match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1022365,2017-06-10,Edgbaston,Australia,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022367,2017-06-11,Kennington Oval,India,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022369,2017-06-12,Sophia Gardens,Pakistan,Sri Lanka,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022371,2017-06-14,Sophia Gardens,England,Pakistan,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022373,2017-06-15,Edgbaston,Bangladesh,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1022375,2017-06-18,Kennington Oval,India,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,ICC Champions Trophy,True
1026847,2016-11-04,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,11,7,63.6,11,8,72.7,22,15,68.2,Tier 2 - Good,2,ODI,male,Papua New Guinea in Hong Kong ODI Series,True
1026849,2016-11-06,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,11,7,63.6,11,8,72.7,22,15,68.2,Tier 2 - Good,2,ODI,male,Papua New Guinea in Hong Kong ODI Series,True
1026851,2016-11-08,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,11,7,63.6,11,8,72.7,22,15,68.2,Tier 2 - Good,2,ODI,male,Papua New Guinea in Hong Kong ODI Series,True
1027315,2017-03-03,"Sir Vivian Richards Stadium, North Sound",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
